run,y/R,z/H,t1_vec,t2,meanu,meanv,meanw,stdu,stdv,stdw,meanupvp,meanupwp,meanvpwp,meanupup,meanvpvp,meanwpwp,meanuu,vectemp,fpeak_u,fstrength_u,fpeak_v,fstrength_v,fpeak_w,fstrength_w,t1_perf,nbladepass,tsr,cp,cd,ct,std_tsr,std_cp,std_cd,std_ct,eta2,a,torque_ripple,amp_tsr,phase_tsr,amp_cp,phase_cp,amp_cd,phase_cd,amp_ct,phase_ct
1,0.0,0.25,13,29.89,0.3930375962107756,-0.05645500296033157,-0.23293783303730017,0.15897166042232433,0.1869421250002266,0.12880427336185418,0.0028491565380035413,-0.004137457044169408,0.004097224556134301,0.0252719888174308,0.03494735809960035,0.01659054083627526,0.17975054085257552,19.3,1.0501422491186385,0.031938235930818765,0.570077220950118,0.027516194108226047,1.0501422491186385,0.08858904577724094,13,50.0,3.099632033623166,-0.0568601541522153,1.1043507182079098,-0.018661312350466672,0.05677321367187711,0.061284602172754526,0.4928116848880516,0.020133196522881987,-0.11229631119844503,0.5415040282784457,-5.507231929542888,0.07447268726003926,0.6468750750367773,0.0739384974478479,0.5262969686135972,0.6844781929781374,0.08861319682814303,0.024340538770488567,0.5282443949151471
2,0.0,0.25,13,29.76,0.39459009546539386,-0.06506533412887827,-0.20158204057279236,0.1704959465142652,0.17988923658155737,0.13393029239724566,0.003984440104685835,-0.0030153811825020934,0.0028463050516451547,0.02906886777779518,0.032360137437895516,0.017937323221611717,0.18477021121718376,19.3,0.5936556069033285,0.05274051091381782,0.5936556069033285,0.04952213130453248,0.5936556069033285,0.04236142542394345,13,48.0,2.9996106698226166,-0.01151595821212672,1.0853320199242942,-0.004192832501145428,0.05803730972713581,0.06197852496287828,0.4739152861834531,0.02082824256977292,-0.022378608298820917,0.5258624081168232,-29.08587883644672,0.07489684895978196,0.5424868865357989,0.07393826004319054,0.4341478121631303,0.6596857297869817,-0.017278795843007882,0.024818135332643505,0.4341397066148021
3,0.0,0.25,13,29.97,0.40307690041249267,-0.0025895698291101927,-0.20560430170889807,0.1580781257815783,0.1617478224411644,0.11794562381011055,0.0005998084495360634,-0.00449408375876664,0.0013428529146377421,0.024988693850616483,0.026162358064458442,0.013911170175956115,0.18745968149675898,19.3,0.09576118875564844,0.04704216565146152,0.6064875287857736,0.04179482664075427,0.09576118875564844,0.09932599627569362,13,47.0,2.8998114528344527,0.02933273076986556,1.0764784824136129,0.009765930275384057,0.05596911965797846,0.05934245797742942,0.4549370338877503,0.020422783335998,0.05657485997989254,0.5183587718660503,10.905856288788982,0.07285039615024015,0.36123570316158005,0.07258961109655789,0.26685748099028433,0.6356339812697033,1.87340314093058,0.02488855063702874,0.26596875052355184
4,0.0,0.25,13,29.83,0.3788966131907308,-0.01371628045157457,-0.2086452762923351,0.15389736417224725,0.16875157625445583,0.12602325146909069,0.00019381483493845827,-0.0013692298146612397,0.003151866381122751,0.023684398699165294,0.02847709448836342,0.015881859910841668,0.16724704218657158,19.3,0.9001531550583121,0.05782163354446049,1.4335772469447192,0.03767312171870641,0.6334411091151085,0.07367437546410169,13,45.0,2.7995170521780173,0.06870411881932892,1.0691317215807872,0.02413017947298028,0.05814673002465159,0.06259849609849764,0.4421724437255132,0.02195737322378481,0.1316880388631259,0.5120163980710652,4.65987333614999,0.07665593535368709,0.22621942266668585,0.07811977663859082,0.14645356474198518,0.6165627399710363,1.7368757535457384,0.0273102237978205,0.14485414404729974
5,0.0,0.25,13,29.68,0.3804622302158273,-0.03344874100719425,-0.166435551558753,0.14260078395799167,0.16873436976615452,0.1256240658406695,0.001872163956424788,-0.0019441757732303366,0.001827810245598485,0.02033498358543381,0.028471287540381366,0.015781405918340867,0.16508649220623503,19.3,0.9418086798755286,0.04696906057122081,1.220863103542352,0.05874109708754341,0.9418086798755286,0.06292280117476559,13,43.0,2.699758431833566,0.1043543280182284,1.0609488130466136,0.038123231654399285,0.06369238000569072,0.06692776528637906,0.4190564610261676,0.023888149282774274,0.19863425968660764,0.5048213876515116,3.30570761465284,0.08665385825439946,0.08035369585615132,0.08812933156291095,2.1104325349069084,0.5855446583625554,1.6142529254855922,0.031413920499230384,2.108028014849745
6,0.0,0.25,13,29.91,0.3478364872856298,-0.016273802483737436,-0.13583175635718509,0.12980139104390775,0.13513893945308675,0.10737882787469932,-0.00011824820011043957,-0.002721499988546873,0.0008648036054444843,0.016848401116933455,0.018262532956505043,0.011530212675744306,0.13783862300413957,19.3,0.6788599707284868,0.04998798797532283,1.5363673021749966,0.025903197873098277,0.6788599707284868,0.039503546763554366,13,42.0,2.5998582463685564,0.13116603441178076,1.046704228153602,0.049747087886846085,0.07138516058044296,0.07380994197390026,0.4048503013958208,0.026992136159064633,0.24665214926544904,0.4919429222352928,2.5328009523291097,0.09697641569939837,2.0889523781864154,0.0970443311166254,2.036744493520576,0.5655430651391289,1.5595517577833868,0.03542932508739643,2.034029887555004
7,0.0,0.25,13,29.76,0.3040850238663485,-0.0037995226730310255,-0.09692511933174225,0.1380211654588439,0.1369310917578143,0.1111039583451011,0.0004946327159790615,-0.0031846609012501355,0.0031880049761906118,0.01904984211461757,0.018750123889986956,0.01234408955994996,0.11151754385441529,19.3,0.41244529686472026,0.037476344236449285,1.6122861604711793,0.04433678349712742,1.3123259445695645,0.06685589608036738,13,40.0,2.499609647534152,0.1597259710408042,1.0357330021651652,0.06300260379277668,0.07877156171796908,0.07889156518248512,0.3906256748768248,0.029578321932608436,0.2975352584332235,0.4816903619657239,1.9132116133037145,0.10890877657978866,1.9118054706397398,0.10635840721758934,1.8736315208800456,0.5451289796601119,1.4199060234838468,0.039761750140331314,1.871183238222484
8,0.0,0.25,13,29.58,0.2489197828709288,-0.0017626658624849214,-0.0678658021712907,0.10724105157548945,0.11089356906712149,0.09298885635981778,0.00030569304308823253,-0.003559340561935333,0.0011247579572704481,0.011500643143016787,0.012297383660444444,0.008646927407106823,0.07346170144752713,19.3,0.43431223309736544,0.07508723910816464,0.11844879084473603,0.03412190458002041,0.43431223309736544,0.088767029703456,13,38.0,2.3995288385948204,0.1883134454136917,1.0352752190083487,0.07729254873416297,0.08848181118814259,0.08608588691475294,0.37285699183969495,0.032973561540081395,0.3506487291486708,0.4812558148392365,1.6975328596913395,0.12305441191111835,1.7734278820225324,0.11780985472251004,1.746988047089592,0.5207264995816651,1.3052351931284647,0.0450523816853478,1.7451409039298875
9,0.0,0.25,13,29.85,0.23352492581602374,0.006828189910979227,-0.05025637982195845,0.10335543582515987,0.1145810735247174,0.08912352393529473,-0.0011226650053271579,-0.0017908609685741708,0.0017704402243569988,0.01068234611460874,0.013128822410076693,0.007943002518645052,0.06521623709198814,19.3,0.12159492956277292,0.08180062441278753,0.12159492956277292,0.04629731837735671,0.44584807506350077,0.12081978049675383,13,37.0,2.2999890111278747,0.20526742737307035,1.005278882224225,0.08777004496582662,0.09623792931971524,0.09110161782503057,0.3565443556605565,0.035915647982151085,0.3722358716998315,0.4514512157717437,1.558922137571789,0.13441418160081828,0.12698542747579367,0.12558989961370132,0.11449567171749415,0.4967481584240646,1.7861036350493111,0.0494006257082305,0.11375630892385488
10,0.0,0.25,13,29.66,0.1843733493397359,-0.0001671668667466972,-0.01076470588235294,0.10841834845328971,0.09537676266868902,0.08718485613040214,-2.6050733618777654e-05,-0.0016672727208530472,0.0017670912541487185,0.011754538281338947,0.009096726857159431,0.0076011991384789205,0.045748070228091235,19.3,0.12857225804616765,0.10057114361676588,0.12857225804616765,0.04266438811983327,1.1571503224155089,0.07952776806374857,13,35.0,2.1999806623453697,0.2216872980281127,0.9987318512859682,0.09887735380550426,0.10613645954414412,0.09797227508744684,0.3421050971777202,0.03974690607225787,0.3996232223201829,0.4445548329955612,1.5071338535913237,0.1478589287541096,1.5850406089811662,0.13494653631000078,1.5852724233462858,0.4721584074025925,1.1756600105334354,0.054615709904799324,1.5860395178183138
